section,product_id,db_value_or_folder
missing_in_zip,27,"1,75-X-10"
missing_in_zip,24,"1,75-X-4"
missing_in_zip,28,"1,75-X12"
missing_in_zip,25,1.75-X-6
missing_in_zip,26,1.75-X-8
missing_in_zip,87,1.75X10
missing_in_zip,88,1.75X12
missing_in_zip,84,1.75X4
missing_in_zip,85,1.75X6
missing_in_zip,86,1.75X8
missing_in_zip,33,"2,5-X-6"
missing_in_zip,34,"2,5-X-8"
missing_in_zip,29,2-X-4
missing_in_zip,30,2-X-6
missing_in_zip,31,2-X-8
missing_in_zip,32,2-X10
missing_in_zip,93,2.5X6
missing_in_zip,94,2.5X8
missing_in_zip,92,2X10
missing_in_zip,80,2X6EXT-REF
missing_in_zip,81,2X8EXT-REF
missing_in_zip,35,3-X-6
missing_in_zip,38,4-X-6
missing_in_zip,39,4-X-8
missing_in_zip,83,CAT-001
missing_in_zip,63,CHEVROLET-CRUZE
missing_in_zip,40,CLF-002-200
missing_in_zip,41,CLF001-200
missing_in_zip,61,CLF037
missing_in_zip,62,CLF038
missing_in_zip,60,CLFO36-AUDI
missing_in_zip,42,CLFOO2-225
missing_in_zip,12,DW016
missing_in_zip,13,DWR002
missing_in_zip,14,DWR006
missing_in_zip,64,HONDA-ACCORD
missing_in_zip,65,HYNDAI-ACCENT
missing_in_zip,19,LTM1234
missing_in_zip,66,PEUGEOT-307
missing_in_zip,67,RENAULT-CLIO
missing_in_zip,57,TW3221D-DIESEL
missing_in_zip,43,TWCAT0002--200
missing_in_zip,44,TWCAT0002--225
missing_in_zip,45,TWCAT002-250
missing_in_zip,59,TWCAT002-DIESEL
missing_in_zip,46,TWCAT003
missing_in_zip,58,TWCAT016-DIESEL
missing_in_zip,53,TWCAT042
missing_in_zip,48,TWCAT052--16
missing_in_zip,47,TWCAT052--18
missing_in_zip,54,"TWCAT052-10,7"
missing_in_zip,97,TWCAT052-10.7
missing_in_zip,49,TWCAT052-11
missing_in_zip,50,TWCAT052-22
missing_in_zip,51,TWCAT091-250-SUPER
missing_in_zip,52,TWCAT237-SENSOR
matched,89,2X4
matched,90,2X6
matched,78,2X6EXT
matched,91,2X8
matched,79,2X8EXT
matched,36,3X4
matched,82,3X6
matched,37,3X8
matched,95,4X6
matched,96,4X8
matched,9,DW002
matched,10,DW004
matched,11,DW008
matched,15,DWR008
matched,16,DWR012
matched,70,GW-BT-ET003
matched,68,GW-M-ET001
matched,69,GW-M-ET002
matched,71,GW-M-ET006
matched,72,GW-M-TT008
matched,73,GW-M-TT009
matched,75,GW-MT-ET016
matched,76,GW-MT-ET022
matched,77,GW-MT-ET025
matched,74,GW-TT-ET015
matched,3,LT040
matched,1,LT041
matched,2,LT042
matched,4,LT043
matched,5,LT2552
matched,6,LT5400
matched,7,LT541
matched,8,LT542
matched,17,LTM1224
matched,20,LTM1236
matched,22,LTM1239
matched,23,LTM1256
matched,18,LTM1259
matched,21,LTM1266
matched,55,TWCAT052-12
matched,56,TWCAT052-16
extra_in_zip,,175X10
extra_in_zip,,175X12
extra_in_zip,,175x4
extra_in_zip,,175X6
extra_in_zip,,175X8
extra_in_zip,,25X6
extra_in_zip,,25X8
extra_in_zip,,2x10ext
extra_in_zip,,CE-R30
extra_in_zip,,CLF002
extra_in_zip,,CLF003
extra_in_zip,,CLF004
extra_in_zip,,CLF005
extra_in_zip,,CLF006
extra_in_zip,,CLF008
extra_in_zip,,DW006
extra_in_zip,,GW_TT_ET_0015
extra_in_zip,,TWCAT002_200
extra_in_zip,,TWCAT002_225
extra_in_zip,,TWCAT003_200
extra_in_zip,,TWCAT0237_250
extra_in_zip,,TWCAT0237_250_SENSOR
extra_in_zip,,TWCAT042_200
extra_in_zip,,TWCAT052_107
extra_in_zip,,TWCAT052_200_8
